,Predicted Beta,Calculated Beta,Norms,Times,,Average Norm,Average Pred Beta,Average Calc,Time Sum
92,47.71320545,46,1.533675184,92.75657058,,,,,
93,41.97297688,40,1.26827511,72.46282244,,,,,
94,46.90329859,46,1.493204185,93.25609612,,,,,
95,57.09533658,59,2.086437085,449.9539576,,,,,
96,39.51056106,34,1.172618903,59.0456841,,,,,
97,47.37965815,47,1.503635561,92.04781032,,,,,
98,47.34781717,37,1.512566259,72.27067661,,,,,
99,43.83636285,42,1.353334167,78.6214571,,,,,
100,48.10060358,49,1.557529912,122.5193846,,,,,
101,49.02419628,45,1.59409854,83.66981721,,,,,
102,39.87446942,36,1.189554035,66.21657729,,,,,
103,46.17419598,42,1.45568527,78.53053188,,,,,
104,43.10897992,45,1.318253536,90.62399888,,,,,
105,40.06893014,45,1.191563695,89.96393371,,,,,
106,49.37719545,52,1.629648914,170.9597685,,,,,
107,49.51938475,42,1.622124295,80.31761098,,,,,
108,43.78926505,41,1.347846174,77.63968349,,,,,
109,50.51212709,46,1.675872449,93.07507062,,,,,
110,41.2460651,44,1.242255743,84.12092161,,,,,
111,40.55722691,39,1.21602381,78.6887486,,,,,
112,47.9359312,42,1.542316794,79.76353621,,,,,
113,43.81515779,41,1.344734772,78.98542881,,,,,
114,43.29540191,46,1.325365193,95.79512525,,,,,
115,48.89309166,50,1.58660379,139.9297905,,,,,
116,44.73827447,39,1.389717466,73.89153171,,,,,
117,37.9373369,43,1.116234246,82.03881526,,,,,
118,43.55744033,43,1.33683011,84.89312363,,,,,
119,42.68381535,44,1.298584762,81.52434778,,,,,
120,44.08601653,44,1.36233476,82.80849385,,,,,
121,44.23133084,29,1.369805216,62.32342005,,,,,
122,45.24963759,49,1.409946302,128.3582697,,,,,
123,44.70463093,47,1.389095311,108.0237496,,,,,
124,47.25299587,50,1.506273181,141.9678972,,,,,
125,50.9099168,44,1.700600801,88.35558915,,,,,
126,48.77687033,47,1.587104863,105.5627949,,,,,
127,48.76663038,45,1.582996438,87.67791438,,,,,
128,44.02620671,30,1.360387059,59.99930644,,,,,
129,46.2528782,40,1.4658702,77.4786551,,,,,
130,49.47090681,49,1.620056974,132.2574317,,,,,
131,46.50313978,44,1.470725391,83.17000508,,,,,
132,45.663499,44,1.429740812,75.20466542,,,,,
133,47.8303317,48,1.53192108,112.8790181,,,,,
134,45.72345792,46,1.435297968,93.23834372,,,,,
135,49.63833672,52,1.629145343,175.7192709,,,,,
136,49.55764612,46,1.628383365,97.57176018,,,,,
137,47.35675829,51,1.511325063,153.3878725,,,,,
138,47.27650001,47,1.518284394,104.7980139,,,,,
139,50.23611501,49,1.660042595,131.4789364,,,,,
140,42.52453673,40,1.297661142,68.34498358,,,,,
141,52.31102783,52,1.783130784,166.169414,,,,,
142,52.54379197,48,1.804423201,116.9147708,,,,,
143,42.3533009,40,1.283097857,76.84389877,,,,,
144,48.06717231,35,1.550384062,69.37538266,,,,,
145,53.10750356,41,1.825828303,77.56126475,,,,,
