,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,Average EBDD Normal Predicted Beta,Average EBDD Probabilistic Predicted Beta,Average EBDD Calculated Beta,Average EBDD Norm,Average Kannan Normal Predicted Beta,Average Kannan Probabilistic Predicted Beta,Average Kannan Calculated Beta,Average Kannan Norm,Total Time
119,22.60516299,27.29434683,38,1.513618838,33.43828416,32.62192711,38,1.14765625,125.6433008,,,,,,,,,,
120,22.27198648,27.10512222,40,2.008839358,33.43828442,32.62192726,33,1.1828125,118.0827205,,,,,,,,,,
121,23.39511265,27.7554922,30,1.466305747,33.43828442,32.62192726,31,0.974609375,97.5939281,,,,,,,,,,
122,22.03344606,26.97058789,19,1.278861281,33.43828442,32.62192726,35,0.996484375,95.20301819,,,,,,,,,,
123,22.97754081,27.50904774,41,1.434628805,33.43828406,32.62192705,33,0.857421875,110.1528063,,,,,,,,,,
124,24.00590841,28.12136285,33,1.095049986,33.43828441,32.62192726,32,0.86171875,111.0821288,,,,,,,,,,
125,22.9460033,27.4908617,40,1.48871236,33.43828427,32.62192717,28,0.961328125,115.026834,,,,,,,,,,
126,22.79258226,27.40260599,31,1.475671889,33.43828438,32.62192724,28,0.96953125,96.71050048,,,,,,,,,,
127,22.95578467,27.4965005,27,1.246990471,33.43828433,32.62192721,31,0.87265625,97.15529084,,,,,,,,,,
128,23.45903289,27.79349722,37,1.51825169,33.43828449,32.6219273,27,1.068359375,106.37203,,,,,,,,,,
129,21.32182645,26.58256004,38,1.673116355,33.43828434,32.62192722,42,1.048828125,137.0590973,,,,,,,,,,
130,21.82679128,26.8569181,32,1.455373795,33.43828432,32.6219272,45,1.03046875,140.8824761,,,,,,,,,,
131,22.6172767,27.30125565,41,1.743908545,33.4382843,32.62192719,36,1.12421875,123.0945826,,,,,,,,,,
132,21.95993878,26.92981026,25,1.049223864,33.43828436,32.62192723,39,0.7921875,108.5235846,,,,,,,,,,
133,22.29127649,27.11603591,41,1.471671391,33.4382843,32.62192719,27,0.97578125,116.2007337,,,,,,,,,,
134,22.97850176,27.5096021,24,1.412663,33.43828444,32.62192727,40,0.959765625,106.1598415,,,,,,,,,,
135,22.467549,27.21600393,39,1.623160441,33.43828439,32.62192725,43,1.085546875,134.509527,,,,,,,,,,
136,22.84067542,27.4302335,35,1.677478457,33.43828438,32.62192724,38,1.106640625,138.5628593,,,,,,,,,,
137,22.49999649,27.23445249,42,1.398446356,33.4382844,32.62192725,33,0.989453125,152.8495772,,,,,,,,,,
138,22.36674286,27.15878191,31,1.453006186,33.43828439,32.62192724,30,1.02109375,107.5209205,,,,,,,,,,
139,22.44471683,27.20303106,33,1.526622342,33.43828414,32.6219271,34,1.059765625,111.5465462,,,,,,,,,,
140,22.15891464,27.04125303,33,1.722023279,33.43828416,32.62192711,48,1.15859375,171.9279735,,,,,,,,,,
141,23.76739524,27.97775425,31,1.414978685,33.43828432,32.62192721,27,1.03828125,133.919172,,,,,,,,,,
142,22.79445134,27.40367905,44,1.848665851,33.43828419,32.62192713,44,1.14375,145.3650734,,,,,,,,,,
143,23.6409814,27.90203435,27,1.006617489,33.43828441,32.62192726,28,0.749609375,94.21327162,,,,,,,,,,
144,23.08292008,27.57080349,30,1.360453737,33.43828424,32.62192716,38,0.9140625,110.6565166,,,,,,,,,,
145,23.24878314,27.66873354,38,1.476081207,33.43828436,32.62192723,35,0.955859375,89.54586148,,,,,,,,,,
146,22.74570874,27.37571256,42,1.550834771,33.43828432,32.62192721,33,1.12578125,76.13433623,,,,,,,,,,
147,22.0544513,26.98240314,41,1.747365647,33.43828404,32.62192704,35,1.10234375,72.8378613,,,,,,,,,,
148,23.10740189,27.58523089,39,1.300588849,33.43828431,32.6219272,33,0.923828125,69.80930495,,,,,,,,,,
149,22.87015401,27.44718492,41,1.481848393,33.43828412,32.62192709,44,1.0171875,82.49466252,,,,,,,,,,
150,23.09272458,27.57658026,39,1.463099728,33.4382844,32.62192725,39,1.067578125,74.71513009,,,,,,,,,,
151,23.53769907,27.84035897,32,1.409436115,33.43828425,32.62192717,33,0.958203125,63.85219312,,,,,,,,,,
152,22.74716084,27.3765452,36,1.385570859,33.43828444,32.62192727,39,0.853125,71.69576883,,,,,,,,,,
153,22.55726634,27.26704978,41,1.429268558,33.43828422,32.62192715,31,0.8765625,74.18039417,,,,,,,,,,
154,23.50721994,27.82219074,37,1.548968736,33.43828421,32.62192714,29,1.064453125,65.47344708,,,,,,,,,,
155,22.82045808,27.41861524,33,1.491805487,33.4382845,32.62192731,34,1.023046875,68.35757136,,,,,,,,,,
156,21.9498035,26.92425352,36,1.685058353,33.43828433,32.62192721,31,0.989453125,65.73109794,,,,,,,,,,
157,21.86744379,26.87914895,44,1.834887683,33.43828427,32.62192718,31,1.2,74.77287865,,,,,,,,,,
158,22.89728922,27.46280038,44,1.387627846,33.43828436,32.62192723,36,0.94140625,78.47118092,,,,,,,,,,
159,21.47044158,26.66296543,31,1.624509277,33.43828423,32.62192715,38,0.885546875,68.77380204,,,,,,,,,,
160,20.86404472,26.33808668,36,1.6963259,33.4382846,32.62192737,21,1.140625,60.77692103,,,,,,,,,,
161,24.30404614,28.30591372,37,1.284674054,33.43828427,32.62192717,40,1.00703125,74.90188956,,,,,,,,,,
162,23.74931693,27.96691001,41,1.304112611,33.43828423,32.62192716,39,0.984375,79.8037138,,,,,,,,,,
163,22.39157644,27.17286549,39,1.157725735,33.43828424,32.62192716,26,0.8140625,67.61692095,,,,,,,,,,
164,21.51773441,26.68861154,36,1.635924844,33.43828455,32.62192734,41,1.05234375,76.68692231,,,,,,,,,,
165,24.07529669,28.16489438,30,1.286864361,33.43828416,32.62192711,28,1.018359375,61.51736236,,,,,,,,,,
166,21.59129559,26.72855964,38,1.645078081,33.4382845,32.62192731,29,1.025390625,70.73616171,,,,,,,,,,
167,23.55155557,27.84862356,33,1.38782463,33.43828415,32.62192711,34,0.98203125,68.11872554,,,,,,,,,,
168,22.23304172,27.08310414,32,1.39329183,33.43828453,32.62192733,42,0.978125,72.99556041,,,,,,,,,,
169,23.40500195,27.76136783,38,1.528335009,33.43828433,32.62192721,32,1.09921875,68.40314913,,,,,,,,,,
170,24.44465565,28.39305588,30,1.429799518,33.43828444,32.62192727,33,1.02109375,62.62034249,,,,,,,,,,
171,21.85083328,26.87006287,39,1.351325449,33.43828443,32.62192727,37,0.918359375,73.45531273,,,,,,,,,,
172,23.76655797,27.9772519,29,1.443633256,33.43828432,32.6219272,37,1.044140625,64.98711228,,,,,,,,,,
173,22.66117572,27.32630962,43,1.658817667,33.4382842,32.62192714,32,1.136328125,74.09038305,,,,,,,,,,
174,22.52621121,27.24936795,30,1.322112821,33.43828449,32.62192731,31,0.932421875,62.08161044,,,,,,,,,,
175,22.37551018,27.16375304,42,1.654058272,33.43828432,32.6219272,37,1.137109375,75.55216098,,,,,,,,,,
176,24.03881872,28.14151724,36,1.172066859,33.43828425,32.62192716,33,0.83125,69.4343636,,,,,,,,,,
177,23.67380551,27.92167099,40,1.411231043,33.43828437,32.62192723,35,0.9703125,72.20117402,,,,,,,,,,
178,22.72800518,27.36556381,42,1.738160989,33.43828425,32.62192717,41,1.1578125,81.0243547,,,,,,,,,,
179,22.81729173,27.4167962,43,1.533815945,33.43828439,32.62192725,39,1.0828125,80.971313,,,,,,,,,,
180,21.98650912,26.94438405,39,1.351865656,33.43828447,32.62192729,37,0.944921875,74.64133763,,,,,,,,,,
181,24.16147761,28.21791482,37,1.481236428,33.43828433,32.62192721,32,1.040625,67.03471613,,,,,,,,,,
182,23.18584917,27.63152441,34,1.414508217,33.43828439,32.62192725,28,0.953125,63.22106647,,,,,,,,,,
183,22.54765425,27.26157553,35,1.536584347,33.43828427,32.62192717,36,1.109765625,69.94379115,,,,,,,,,,
184,20.97981834,26.39812065,39,1.562102069,33.43828446,32.62192729,30,0.94140625,69.44495225,,,,,,,,,,
185,22.59937956,27.29104908,28,1.362490961,33.43828416,32.62192711,32,0.929296875,69.11426187,,,,,,,,,,
186,22.15477302,27.03891697,43,1.597495289,33.43828436,32.62192723,34,1.06875,76.01514363,,,,,,,,,,
187,23.40764183,27.76293655,39,1.457449067,33.43828438,32.62192724,23,0.93359375,68.86141038,,,,,,,,,,
188,22.38940591,27.1716342,44,1.891678301,33.43828411,32.62192708,43,1.288671875,90.14400268,,,,,,,,,,
189,22.94531872,27.4904671,39,1.523216018,33.43828431,32.6219272,40,1.039453125,78.84813929,,,,,,,,,,
190,21.665411,26.76887926,37,1.621418886,33.43828426,32.62192717,40,1.059375,77.13391137,,,,,,,,,,
191,22.72175169,27.36198005,32,1.543913837,33.43828435,32.62192722,26,0.951171875,62.59775543,,,,,,,,,,
192,21.5564152,26.70960883,32,1.517128025,33.43828436,32.62192723,33,1.00390625,68.12572575,,,,,,,,,,
193,22.16738176,27.04602961,50,2.022922622,33.43828428,32.62192718,41,1.266015625,140.8200059,,,,,,,,,,
194,21.80524075,26.84514192,31,1.50510134,33.43828432,32.62192721,33,1.03046875,64.95622897,,,,,,,,,,
195,23.66848828,27.91848885,34,1.401109656,33.43828427,32.62192718,37,0.979296875,72.15959549,,,,,,,,,,
196,21.1639003,26.49646944,42,2.010842912,33.43828425,32.62192717,48,1.22734375,108.3522229,,,,,,,,,,
197,22.31287911,27.12826411,40,1.377047937,33.43828426,32.62192717,32,1.048046875,71.5113101,,,,,,,,,,
198,22.31492622,27.12942322,40,1.635147994,33.43828426,32.62192717,41,1.130859375,77.19308901,,,,,,,,,,
199,22.47862381,27.22229906,38,1.79366391,33.43828414,32.6219271,36,1.232421875,73.75848722,,,,,,,,,,
200,23.55371707,27.84991304,33,1.160486678,33.43828433,32.62192721,22,0.827734375,58.37877822,,,,,,,,,,
201,23.06704958,27.56145589,33,1.501633108,33.4382843,32.6219272,24,0.990625,58.85784864,,,,,,,,,,
202,22.88953201,27.45833522,25,1.236293888,33.4382843,32.62192719,28,0.90390625,56.59018803,,,,,,,,,,
203,22.99948141,27.52170862,39,1.473692367,33.4382842,32.62192714,33,1.054296875,69.11617422,,,,,,,,,,
204,22.00802929,26.9562993,43,1.635667604,33.43828445,32.62192728,33,1.079296875,74.41010547,,,,,,,,,,
205,22.22748315,27.07996322,36,1.401774043,33.43828455,32.62192733,40,0.98515625,72.3996768,,,,,,,,,,
206,22.93622384,27.48522545,43,1.717118378,33.43828427,32.62192717,38,1.1296875,76.45448875,,,,,,,,,,
207,23.18157563,27.629,31,1.258479204,33.43828433,32.62192721,29,0.957421875,60.72408819,,,,,,,,,,
208,22.3437596,27.14575528,44,1.927824573,33.43828437,32.62192724,45,1.281640625,89.5499022,,,,,,,,,,
209,22.65375113,27.3220704,28,1.148467197,33.43828405,32.62192705,28,0.839453125,59.58727098,,,,,,,,,,
210,23.03909856,27.5450026,34,1.483814537,33.43828456,32.62192734,30,0.90859375,67.3503499,,,,,,,,,,
211,21.62934216,26.74924854,33,1.542676763,33.43828429,32.62192719,33,1.046484375,68.20485067,,,,,,,,,,
212,20.7148342,26.26092871,34,1.393958805,33.43828441,32.62192726,31,0.7828125,64.40391397,,,,,,,,,,
213,22.72553393,27.36414751,43,1.440064763,33.43828469,32.62192742,33,0.94140625,74.64737105,,,,,,,,,,
214,21.74627178,26.8129495,37,1.640549816,33.43828436,32.62192723,31,1.101171875,67.25029159,,,,,,,,,,
215,23.0043443,27.52456174,37,1.284592549,33.43828434,32.62192722,28,0.933984375,65.89703202,,,,,,,,,,
216,22.20956309,27.06984023,45,1.53340627,33.43828432,32.6219272,34,1.069140625,81.58312082,,,,,,,,,,
217,23.72646504,27.95320981,41,1.725362123,33.43828438,32.62192724,46,1.22578125,93.27521276,,,,,,,,,,
218,22.24579707,27.09031329,35,1.352768039,33.43828422,32.62192714,35,0.8546875,69.62899113,,,,,,,,,,
219,22.09110175,27.00303322,41,1.592448975,33.43828452,32.62192732,41,1.023828125,80.32988858,,,,,,,,,,
220,22.22922895,27.08094965,32,1.633115388,33.43828423,32.62192715,38,1.055859375,69.40263271,,,,,,,,,,
221,21.99115622,26.94693392,40,1.566837924,33.4382844,32.62192725,39,0.98515625,76.75564647,,,,,,,,,,
222,22.54265836,27.25873079,44,1.590553553,33.43828445,32.62192728,31,0.99140625,77.25075364,,,,,,,,,,
223,21.45129683,26.65259171,40,1.660602613,33.43828422,32.62192715,31,0.994140625,70.4377563,,,,,,,,,,
