,Predicted Beta,Calculated Beta,Norms,Times,Average Predicted Beta,Average Calculated Beta,Average Norms,Average Times
453,45.64943527,43,84.28571429,69.16094089,,,,
454,49.8917393,51,97.40714286,143.4097271,,,,
455,40.73291065,39,55.07142857,63.45101261,,,,
456,47.19534149,51,50.98571429,142.4818432,,,,
457,46.83361204,48,68.78571429,103.8170025,,,,
458,38.84251872,43,65.66428571,69.8698926,,,,
459,45.06152194,38,62.72142857,59.22335553,,,,
460,43.28613777,45,72.80714286,77.66308475,,,,
461,41.23910964,34,67.29285714,56.43376875,,,,
462,42.96328369,39,71.79285714,60.55558133,,,,
463,39.42413855,34,62.14285714,60.05018997,,,,
464,45.3517312,42,81.87142857,73.38946772,,,,
465,49.43336033,36,68.67857143,61.56818295,,,,
466,46.2267713,42,46.07857143,70.26508331,,,,
467,40.5622475,37,57.26428571,60.88774586,,,,
468,43.27506463,39,72.87857143,56.3954699,,,,
469,46.10596837,42,79.57857143,70.69856596,,,,
470,44.47031631,44,76.02142857,72.64233613,,,,
471,45.88350629,51,62.47142857,148.0898137,,,,
472,46.29702116,50,61.12857143,130.2410736,,,,
473,36.37647975,39,32.60714286,67.83256793,,,,
474,40.32912494,35,61.70714286,55.0165503,,,,
475,48.02829448,42,90.1,69.22411537,,,,
476,39.02491996,40,37.76428571,65.61512446,,,,
477,48.3572593,42,96.62857143,72.02709794,,,,
478,39.08965463,43,58.04285714,71.24533582,,,,
479,41.60731858,40,53.66428571,62.83277225,,,,
480,39.80570377,45,60.20714286,76.27854013,,,,
481,42.48843466,47,58.12857143,94.43106842,,,,
482,46.93196028,47,69.54285714,89.68898344,,,,
483,46.46696111,47,63.69285714,90.0846734,,,,
484,42.63619436,43,52.43571429,70.17895484,,,,
485,39.79305931,35,54.12857143,52.18250537,,,,
486,46.36711003,52,66.01428571,152.883877,,,,
487,45.28977419,38,77.44285714,62.18668723,,,,
488,49.05983716,44,106.9571429,72.87301731,,,,
489,40.64769607,42,74.25,73.71949267,,,,
490,36.47731178,39,54.34285714,63.26399469,,,,
491,39.59005319,39,35.55714286,66.33487391,,,,
492,45.92403264,51,40.96428571,149.6588626,,,,
493,41.58369408,34,74.07857143,55.68028998,,,,
494,40.20572336,43,42.77857143,71.59617853,,,,
495,36.31871862,34,47.16428571,59.39282203,,,,
496,40.10664793,45,63.89285714,82.22396398,,,,
497,45.82261665,40,76.52857143,71.58136821,,,,
498,48.65496643,40,77.83571429,102.0448649,,,,
499,37.18599309,33,94.66428571,59.90173507,,,,
