,Predicted Beta,Calculated Beta,Norms,Times,,Average Pred,Average Calc,Avg Norm,Max Calc
279,34.5411965,33,1.032421875,32.3812139,,,,,
280,32.28150131,32,0.967578125,32.44486046,,,,,
281,40.31677825,32,1.228125,31.27491736,,,,,
282,43.17773841,43,1.341796875,42.32570457,,,,,
283,34.54119648,41,1.032421875,39.25208926,,,,,
284,29.81729146,28,0.904296875,28.91329265,,,,,
285,36.01353611,29,1.078125,33.1741662,,,,,
286,28.4551885,44,0.87265625,42.3429842,,,,,
287,30.17052319,33,0.912890625,31.42737603,,,,,
288,35.70591243,36,1.068359375,34.89046478,,,,,
289,31.29665388,40,0.94140625,40.75285697,,,,,
290,39.16392436,36,1.185546875,34.84081006,,,,,
291,36.38855529,27,1.090234375,28.12140322,,,,,
292,26.77893548,31,0.83984375,29.93258047,,,,,
293,20.22127848,37,0.681640625,35.59405637,,,,,
294,23.23054192,30,0.75859375,30.24934268,,,,,
