,Seed,Custom Embedding Normal Predicted Hardness,Custom Embedding Probabilistic Predicted Hardness,Custom Embedding Calculated Hardness,Custom Embedding Norms,Custom Embedding Scaled Predicted Hardness,Standard Embedding Normal Predicted Hardness,Standard Embedding Prob Predicted Hardness,Standard Embedding Calculated Hardness,Standard Embedding Norms,Standard Embedding Scaled Predicted Hardness,Times,,Actual Results Custom Embedding Calculated,Actual Results Standard Embedding Calculated
71,75,22.98771028,27.51491515,46,1.555254127,35.75173128,33.43828442,32.62192726,32,0.989453125,33.08561501,132.6702509,,,
72,82,23.67316298,27.92128643,39,1.517729855,35.92946622,33.43828448,32.6219273,37,0.962109375,32.17128698,111.091599,,,
73,81,22.83643036,27.42779348,37,1.480295143,33.80465695,33.43828436,32.62192723,35,0.971875,32.49783261,123.2988319,,,
74,47,22.97424123,27.50714433,36,1.375875863,31.60970398,33.43828433,32.62192721,29,0.983203125,32.87662565,384.700752,,,
75,84,22.61234584,27.29844318,41,1.465291159,33.13367044,33.43828439,32.62192724,37,0.998046875,33.37297524,123.8830006,,,
76,83,23.24600706,27.66709088,35,1.491101429,34.66215435,33.43828415,32.62192711,42,1.001171875,33.47746964,133.6291175,,,
77,86,23.27753986,27.68575656,36,1.366126383,31.80006133,33.43828436,32.62192723,33,0.95,31.76637014,120.6152279,,,
78,72,22.84634359,27.43349191,39,1.180872391,26.97861638,33.43828434,32.62192722,19,0.783203125,26.18896879,218.4466565,,,
79,87,22.53398733,27.25379418,41,1.546564058,34.85025489,33.43828439,32.62192725,36,1.055078125,35.2800024,122.1864212,,,
80,88,23.0977718,27.57955464,33,1.486732774,34.34021434,33.43828438,32.62192724,28,1.069921875,35.77635192,117.2447836,,,
81,92,22.51550566,27.24327563,30,1.516687545,34.148987,33.43828426,32.62192717,37,1.02890625,34.40485966,113.3438909,,,
82,71,24.59995216,28.4897086,37,1.561772204,38.4195215,33.4382843,32.62192719,43,1.093359375,36.56006162,247.2490835,,,
83,85,23.21416295,27.64825691,24,1.164677035,27.03700247,33.43828437,32.62192723,28,0.8421875,28.16130512,168.563416,,,
84,78,22.57243015,27.27568844,38,1.349792556,30.46809819,33.43828428,32.62192718,37,0.884765625,29.58504449,218.4186118,,,
85,94,22.05458491,26.98247832,29,1.357776187,29.9451902,33.43828436,32.62192723,30,0.80625,26.95961677,106.5835607,,,
86,89,23.49559899,27.81526753,38,1.232765341,28.9645601,33.43828438,32.62192724,42,0.981640625,32.82437838,142.2712455,,,
87,93,22.16836676,27.04658535,43,1.482461966,32.86376057,33.43828422,32.62192715,35,0.949609375,31.75330818,136.5911715,,,
88,77,22.68582876,27.34140465,34,1.3391242,30.37914229,33.43828435,32.62192722,35,0.91484375,30.59080545,251.7604234,,,
89,95,22.79131543,27.40187872,35,1.755393397,40.00772461,33.43828431,32.6219272,34,1.15078125,38.48015062,136.0589402,,,
90,96,22.21928994,27.07533435,41,1.886437603,41.91530405,33.4382844,32.62192725,35,1.08046875,36.12902135,130.5380642,,,
91,74,22.8206595,27.41873096,28,1.249281521,28.50942821,33.43828446,32.62192729,27,0.90546875,30.27732163,290.7440686,,,
92,100,21.81699975,26.85156682,35,1.488039348,32.46455408,33.43828426,32.62192717,28,0.96953125,32.41946154,114.8382001,,,
93,97,22.57637548,27.27793657,36,1.708033644,38.56120888,33.4382843,32.6219272,38,1.070703125,35.80247549,136.9960558,,,
94,104,23.03369828,27.54182515,22,1.213333713,27.94756266,33.43828433,32.62192721,25,0.88203125,29.49361173,92.00293899,,,
95,101,22.90441388,27.46690224,39,1.438728724,32.95323816,33.43828426,32.62192717,30,0.939453125,31.41370064,112.7803891,,,
96,99,22.28105539,27.11025248,36,1.541126722,34.33792986,33.43828438,32.62192724,32,0.983203125,32.8766257,120.123131,,,
97,43,23.04700314,27.54965436,40,1.668239581,38.44792286,33.43828433,32.62192721,42,1.115625,37.30458596,542.7204149,,,
98,105,23.46857072,27.79917369,36,1.014889056,23.81799558,33.43828433,32.62192721,26,0.8140625,27.22085334,107.3160403,,,
99,103,22.63420908,27.31091611,38,1.328842343,30.07729543,33.43828427,32.62192718,37,0.991015625,33.13786218,129.182528,,,
100,108,22.13418895,27.02731012,35,1.485074361,32.87091651,33.43828441,32.62192726,42,0.923828125,30.89122759,115.5400581,,,
101,110,21.31655982,26.57971579,34,1.358168015,28.95146974,33.43828424,32.62192716,32,0.873828125,29.21931322,114.8868904,,,
102,79,22.82828751,27.42311383,42,1.436332667,32.78901508,33.43828438,32.62192724,37,0.972265625,32.51089446,356.3354902,,,
103,111,22.36306949,27.1566994,31,1.550268051,34.66875215,33.43828424,32.62192716,42,1.076171875,35.98534105,125.862592,,,
104,113,22.39939275,27.17730003,41,1.395007059,31.247311,33.43828441,32.62192726,21,0.969921875,32.43252351,112.6512611,,,
105,90,23.22244077,27.65315123,48,1.859669977,43.18607589,33.43828442,32.62192726,42,1.10234375,36.86048384,301.6580157,,,
106,109,23.80553384,28.00064871,47,1.711290491,40.73818369,33.43828433,32.62192721,42,1.146875,38.34953234,171.1651256,,,
107,76,22.28006403,27.10969162,43,2.003562603,44.63950308,33.43828448,32.6219273,30,1.06875,35.73716654,406.96399,,,
108,114,21.72943592,26.80376674,37,1.35668053,29.47990264,33.43828442,32.62192726,42,0.89140625,29.80709572,135.2988145,,,
109,116,23.73975637,27.96117724,27,1.780207915,42.26170219,33.43828432,32.62192721,39,1.071875,35.84166101,126.3268504,,,
110,91,23.55792911,27.85242602,32,1.334072681,31.42798965,33.4382843,32.62192719,32,1.062890625,35.5412389,318.9289074,,,
111,98,22.34513139,27.14653259,40,1.448666514,32.3706436,33.43828424,32.62192716,28,0.97421875,32.57620347,259.9629047,,,
112,112,23.17089996,27.62269505,30,1.13979073,26.40997698,33.43828425,32.62192717,31,0.780859375,26.11059774,169.6258023,,,
113,119,22.63967487,27.31403537,44,1.598151069,36.1816206,33.43828451,32.62192732,38,0.999609375,33.42522268,134.6211307,,,
114,106,22.01357132,26.95941412,37,1.626751361,35.81060711,33.43828428,32.62192718,29,1.01640625,33.98688113,212.0175076,,,
115,115,22.05583676,26.98318267,41,1.624278468,35.82482074,33.43828429,32.62192718,28,0.9984375,33.38603697,167.2219675,,,
116,123,21.80644432,26.84579945,24,1.395092315,30.42200289,33.43828422,32.62192715,39,0.894921875,29.92465201,113.1488311,,,
117,124,21.80183887,26.84328354,36,1.374348898,29.96333323,33.43828436,32.62192723,25,0.95546875,31.94923576,100.2647607,,,
118,107,21.97038212,26.93553731,33,1.634080251,35.90136753,33.43828454,32.62192733,38,1.0015625,33.49053186,219.2944214,,,
119,120,22.11372815,27.01577857,45,1.394780921,30.84380612,33.43828461,32.62192737,37,0.965625,32.28884358,150.9251671,,,
120,102,21.9418414,26.91988917,33,1.361798385,29.88036418,33.43828429,32.62192719,40,0.909765625,30.42100161,250.5278087,,,
121,122,22.0498461,26.97981224,41,1.599960654,35.27888619,33.43828421,32.62192714,40,0.93671875,31.32226779,126.9776638,,,
122,118,23.01809168,27.53264505,40,1.55401865,35.77054376,33.43828439,32.62192724,39,1.01015625,33.77789197,159.4200811,,,
123,117,23.23654732,27.66149431,36,1.60176115,37.21939876,33.43828427,32.62192717,40,1.162890625,38.88506729,170.8878336,,,
124,121,23.39687176,27.75653725,39,1.792235836,41.93271202,33.43828442,32.62192726,41,1.08671875,36.33801065,172.170928,,,
