,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,EBDD Caluclated Actual,Kannan Calculated Actual
107,195,42.97985818,49.97769654,1,1.437616227,49.40001662,53.53118817,1,0.919270833,1330.32273,,,
108,193,43.00069352,49.98818055,1,1.566094021,49.40001661,53.53118817,1,1.096354167,1754.716188,,,
109,179,42.99189444,49.98375185,1,1.51012438,49.40001657,53.53118814,56,1.026041667,5384.748437,,,
110,197,43.03686507,50.00643141,1,1.517601254,49.40001669,53.53118822,1,0.984375,1406.055672,,,
111,159,42.9921565,49.98388371,60,1.565443523,49.40001655,53.53118813,1,1.111979167,11141.83466,,,
112,198,42.99654686,49.98609297,1,1.33246554,49.40001664,53.53118818,1,0.859375,1531.251766,,,
113,157,42.99941817,49.98753798,59,1.701828761,49.4000167,53.53118823,1,1.096354167,12056.91547,,,
114,149,42.93740651,49.95635574,60,1.861011787,49.4000166,53.53118816,1,1.096354167,13703.73367,,,
115,176,42.97359997,49.97454891,58,1.654879299,49.40001659,53.53118816,1,1.0234375,7164.191916,,,
116,191,43.08683946,50.03167688,54,1.418864964,49.40001657,53.53118815,1,0.84375,3707.04045,,,
117,162,43.01528798,49.99554218,58,1.788914376,49.40001659,53.53118816,58,1.1953125,10891.81905,,,
118,174,43.04248091,50.0092666,60,1.605865025,49.40001666,53.5311882,1,0.997395833,8488.633534,,,
119,187,43.00795206,49.99184148,57,1.545635525,49.40001664,53.53118818,1,0.997395833,5674.295433,,,
120,194,42.97591726,49.97571435,1,1.49689062,49.40001665,53.5311882,55,1.072916667,3835.062843,,,
121,184,43.03668292,50.00633946,1,1.674581816,49.40001663,53.53118818,59,1.1484375,6615.622497,,,
122,166,43.00049278,49.98807932,62,1.812864615,49.40001655,53.53118813,1,1.106770833,11242.3028,,,
123,199,43.03981473,50.00792051,56,1.466260352,49.4000166,53.53118816,51,0.950520833,4140.885643,,,
124,196,43.00875929,49.99224866,63,1.93457064,49.40001668,53.53118821,57,1.2109375,12171.98519,,,
