,Seed,EBDD Normal Predicted Beta,EBDD Probabilistic Predicted Beta,EBDD Calculated Beta,EBDD Norms,Kannan Normal Predicted Beta,Kannan Prob Predicted Beta,Kannan Calculated Beta,Kannan Norms,Times,,,,,EBDD Calc,Kannan Calc
113,115,45.38503523,46.75967113,58,1.616925948,52.8812889,51.93869548,48,1.060546875,2797.095969,,,,,,
114,118,45.33692559,46.73019622,57,1.453779057,52.88128901,51.93869556,53,0.90625,2322.817369,,,,,,
115,113,45.37608276,46.75418387,53,1.45963721,52.88128892,51.93869549,57,1.051432292,2950.806829,,,,,,
116,120,45.42493847,46.78414258,57,1.365773397,52.88128886,51.93869544,45,0.995442708,2041.013699,,,,,,
117,123,45.35124062,46.73896314,53,1.307159469,52.88128893,51.9386955,52,0.912760417,1962.687203,,,,,,
118,97,45.22859541,46.66394354,62,1.642828456,52.88128884,51.93869543,57,1.080078125,5333.558133,,,,,,
119,122,45.2990628,46.70702166,54,1.370048481,52.88128902,51.93869557,57,0.910807292,2370.012057,,,,,,
120,121,45.28118816,46.69608806,59,1.645221597,52.88128888,51.93869546,52,1.016276042,2423.980391,,,,,,
121,124,45.33685974,46.7301559,59,1.527327538,52.88128891,51.93869549,46,0.96875,2377.230294,,,,,,
122,111,45.33638314,46.72986407,62,1.617476284,52.88128905,51.9386956,55,1.119791667,4111.406446,,,,,,
123,109,45.24571453,46.67440252,62,1.797483352,52.88128892,51.9386955,53,1.171875,4649.064064,,,,,,
124,117,45.22808771,46.66363343,60,1.741764821,52.88128893,51.9386955,58,1.111979167,3709.077678,,,,,,
